u,v,weight
A1BG,ADAM30,0.0473899915814399
A1BG,CHCHD3,0.0450084544718265
A1BG,DEFA3,0.0520640276372432
A1BG,EPPIN-WFDC6,0.0471346080303192
A1BG,IGF2BP1,0.0427033677697181
A1BG,LCE1C,0.0492851957678794
A1BG,MEP1B,0.0482750907540321
A1BG,NXF2,0.052162367850542
A1BG,PRM2,0.0692766159772872
A1BG,SOD3,0.049240157008171
A1CF,CTNNA2,0.1004267707467079
A1CF,DCC,0.1004640534520149
A1CF,DDX25,0.0519528724253177
A1CF,DPP10,0.1135780811309814
A1CF,EYS,0.0926747247576713
A1CF,IL1RAPL2,0.1004434674978256
A1CF,LRRC4C,0.0982514098286628
A1CF,NDUFA7,0.1025623008608818
A1CF,PCDH15,0.1160113215446472
A1CF,SEMA3E,0.0947771370410919
A1CF,SLC22A14,0.061449397355318
A1CF,TPTE,0.0933956578373909
A1CF,VSX2,0.0740584433078765
A2M,AGT,0.099178060889244
A2M,CAV1,0.0750150829553604
A2M,COL1A1,0.1364194303750991
A2M,COL3A1,0.1425918340682983
A2M,COL4A1,0.1399851590394973
A2M,COL4A2,0.1700316965579986
A2M,COL6A3,0.1664888262748718
A2M,COL8A1,0.1606818884611129
A2M,EDNRB,0.0937898084521293
A2M,F2R,0.0785363987088203
A2M,FAM20C,0.0916830524802208
A2M,FBLN5,0.077286273241043
A2M,ITGA1,0.1324533820152282
A2M,LUM,0.1480818092823028
A2M,PDGFRA,0.1300854533910751
A2M,PTGER2,0.0542796291410923
A2M,RABAC1,0.0510781481862068
A2M,SGIP1,0.1426021754741668
A2M,SPARC,0.1035075932741165
A2M,STOM,0.0784152150154113
A2M,TGM2,0.0891652330756187
A2M,TMEM176B,0.0654171407222747
A2M,UNC5C,0.1412879824638366
A2ML1,CDH18,0.0978316366672515
A2ML1,CSMD1,0.1019767522811889
A2ML1,DPP10,0.1027646511793136
A2ML1,INO80D,0.114090047776699
A2ML1,KRT13,0.103078655898571
A2ML1,KRT16,0.1130802854895591
A2ML1,LINGO1,0.1328309029340744
A2ML1,LLGL2,0.0525164678692817
A2ML1,SLC26A3,0.1159087345004081
A2ML1,SLC27A6,0.1049265563488006
A2ML1,TMPRSS11A,0.1037358045578002
A2ML1,UGDH,0.0513162426650524
A4GALT,ARNTL2,0.0734287202358245
A4GALT,CDH11,0.0968941375613212
A4GALT,CDH13,0.0703970268368721
A4GALT,CYB5R3,0.0474885255098342
A4GALT,EVA1C,0.0750205144286155
A4GALT,KAZN,0.0855551585555076
A4GALT,LTBP1,0.0710421428084373
A4GALT,NCEH1,0.0701005533337593
A4GALT,OSMR,0.0800125673413276
A4GALT,RNF19B,0.0758126303553581
A4GALT,ST3GAL1,0.0731042698025703
A4GNT,ABCF2,0.0814188942313194
A4GNT,CXCR3,0.0694236233830452
A4GNT,FSCN2,0.0691047459840774
A4GNT,KCNAB3,0.0760202556848526
A4GNT,KISS1,0.0814224034547805
A4GNT,KRTCAP3,0.0590442717075347
A4GNT,LCN1,0.1675283759832382
A4GNT,NEFL,0.0656696930527687
A4GNT,NKX2-6,0.1889941096305847
A4GNT,NR2F6,0.0461006350815296
A4GNT,PLA2G12B,0.0694417506456375
A4GNT,PSMB11,0.255583256483078
A4GNT,RAD51,0.0983326733112335
A4GNT,SLC22A17,0.0550064705312252
A4GNT,SLC25A34,0.0535033009946346
A4GNT,SLC34A3,0.1377313733100891
A4GNT,SYPL2,0.0723506808280944
A4GNT,TWF2,0.1103250905871391
A4GNT,VAX1,0.0670583993196487
A4GNT,ZNF416,0.0638436749577522
AAAS,C1S,0.0433769114315509
AAAS,INTS9,0.0466669090092182
AAAS,KARS,0.0446172170341014
AAAS,LCE3A,0.0432136692106723
AAAS,LYN,-0.0407474711537361
AAAS,MYH9,0.0459330454468727
AAAS,POLR2G,0.0404615737497806
AAAS,RIMKLA,0.0398897156119346
AAAS,SCGB3A1,0.0465964786708354
AAAS,TSSK2,0.0468831323087215
AACS,ACACA,0.063800111413002
AACS,ACSS2,0.0527220219373703
AACS,AGAP1,0.0692056864500045
AACS,EHBP1,0.0651958808302879
AACS,FRMD4A,0.0641259476542472
AACS,GALNT14,0.0665057227015495
AACS,GRIP1,0.073268711566925
AACS,KIAA1217,0.0707729235291481
AACS,LARGE1,0.0641523301601409
AACS,MAPK13,0.0437533855438232
