u,v,weight
A1BG,EEF2,0.5250343084335327
A1BG,LGALS1,0.5441941618919373
A1BG,OST4,0.5457557439804077
A1BG,PHPT1,0.5386865139007568
A1BG,RPL10,0.5325283408164978
A1BG,RPL29,0.525854229927063
A1BG,RPL41,0.5312037467956543
A1BG,RPLP1,0.5379347801208496
A1BG,SSR2,0.5285625457763672
A1BG,TPM4,0.5348847508430481
A2M,ADCY1,0.4901818931102752
A2M,COL4A1,0.7162060737609863
A2M,COL4A2,0.7157126665115356
A2M,DLC1,0.6776047348976135
A2M,ECE1,0.7351040840148926
A2M,EPAS1,0.7042021155357361
A2M,HIST2H2BE,0.2665162086486816
A2M,HLX,0.6154239773750305
A2M,KLHL5,0.531703531742096
A2M,MARCKSL1,0.5470626354217529
A2M,MTMR12,0.4405000209808349
A2M,NECAP1,0.3620795905590057
A2M,NES,0.6755996346473694
A2M,NLK,0.3295692503452301
A2M,NOTCH1,0.646247386932373
A2M,PDE7B,0.3406517207622528
A2M,PIK3C2A,0.6770578026771545
A2M,PRKCE,0.4394501149654388
A2M,PROS1,0.5884296298027039
A2M,SLC12A2,0.6389339566230774
A2M,SPRY4,0.6986774802207947
A2M,SPTBN1,0.7164137959480286
A2M,ST3GAL2,0.5470151305198669
A2M,STOM,0.702392578125
A2M,YY2,0.2576139569282532
A2M,ZBTB18,0.3770158588886261
A2ML1,CA2,0.1466510593891143
A2ML1,HCN3,0.1317269057035446
A2ML1,HIST2H4B,0.1809775084257125
A2ML1,INPP5J,0.1189470514655113
A2ML1,KCNQ3,0.1361348330974578
A2ML1,NUDT19,0.131726861000061
A2ML1,PNLDC1,0.129093587398529
A2ML1,RAG1,0.1228944957256317
A2ML1,RCAN1,0.1271820962429046
A2ML1,ZNF45,0.1331087946891784
A4GALT,BGN,0.6343981027603149
A4GALT,BVES,0.3795280754566192
A4GALT,CALD1,0.6139373779296875
A4GALT,DSTN,0.619422435760498
A4GALT,IFITM3,0.6472980976104736
A4GALT,IGFBP4,0.6225114464759827
A4GALT,ITGB1,0.631742000579834
A4GALT,MFGE8,0.6530649065971375
A4GALT,MYH9,0.6203795075416565
A4GALT,PCDHGA9,0.3451201021671295
A4GALT,PCSK9,0.2852658629417419
A4GALT,PRRX1,0.6514188051223755
A4GALT,SERPINH1,0.6383948922157288
A4GNT,ASPRV1,0.1908097714185714
A4GNT,CDX1,0.3189804852008819
A4GNT,CEBPE,0.2563924193382263
A4GNT,CFHR3,0.2570990025997162
A4GNT,CNNM1,0.2567020356655121
A4GNT,GUCA1A,0.3595389723777771
A4GNT,HSF5,0.3840341866016388
A4GNT,IL22RA1,0.5773499011993408
A4GNT,KCNB1,0.2786194682121277
A4GNT,SLC25A52,0.4078136086463928
A4GNT,TCF21,0.2877520620822906
AAAS,ARF1,0.4791419208049774
AAAS,CALM2,0.4813396334648132
AAAS,CFL1,0.4804858863353729
AAAS,GNAS,0.4781693518161773
AAAS,NDUFB10,0.4786885678768158
AAAS,PCBP2,0.4783171117305755
AAAS,PPIA,0.479245662689209
AAAS,PSMB1,0.4855574667453766
AAAS,RAC1,0.4862665235996246
AAAS,SUMO2,0.4894148111343384
AACS,ATP2A2,0.4705054461956024
AACS,EEF2,0.4788954854011535
AACS,MYL6,0.470700740814209
AACS,MYO1C,0.4716290235519409
AACS,RBMS1,0.4736215472221374
AACS,RPL10,0.4723115861415863
AACS,RPL41,0.4801903069019317
AACS,RPL5,0.4734361469745636
AACS,TPM4,0.4761237204074859
AACS,YBX3,0.4791342914104461
AADAT,DDR2,0.4530818164348602
AADAT,HBB,0.3035262823104858
AADAT,HOXC8,0.4747682809829712
AADAT,MDK,0.4499388635158539
AADAT,PARVA,0.4605678617954254
AADAT,PDGFRA,0.4769892394542694
AADAT,PDLIM2,0.4606839120388031
AADAT,PRRX1,0.4604812562465668
AADAT,SERPINH1,0.4521915018558502
AADAT,SSPN,0.4817387163639068
AADAT,TGFB1I1,0.4635513126850128
AAGAB,ACTG1,0.3922047615051269
AAGAB,CAPZB,0.4158378541469574
AAGAB,COX6C,0.3979234993457794
AAGAB,GPX4,0.4055491983890533
AAGAB,JTB,0.3947892785072326
AAGAB,NDUFA4,0.4093354046344757
AAGAB,RHOA,0.3896302580833435
AAGAB,SDF4,0.3941428363323211
AAGAB,SERF2,0.392759621143341
AAGAB,TMSB10,0.3954998254776001
AAK1,DYNLL1,0.6291836500167847
AAK1,GNAS,0.6203756928443909
AAK1,NACA,0.6057673096656799
AAK1,PCBP2,0.6245496869087219
AAK1,RPL10,0.614251434803009
AAK1,RPL15,0.6068304181098938
AAK1,RPL30,0.6095678210258484
AAK1,RPL35A,0.6053469777107239
AAK1,RPL41,0.6088712215423584
AAK1,TPT1,0.623151957988739
AAMDC,EID1,0.7308496236801147
AAMDC,KDELR1,0.7066515684127808
AAMDC,LGALS1,0.7154595255851746
AAMDC,MORF4L1,0.7119256258010864
AAMDC,NEK11,0.3047370016574859
AAMDC,OST4,0.703333854675293
AAMDC,PRRG2,0.2281199097633361
AAMDC,PTMS,0.7149651646614075
AAMDC,RAB2A,0.7016591429710388
AAMDC,RABAC1,0.7146807909011841
AAMDC,TPM4,0.7010152339935303
AAMDC,UNKL,0.2940333485603332
AAMDC,VKORC1,0.7069327235221863
AAMDC,ZNF420,0.3061495125293731
AAMP,CFL1,0.6869180798530579
AAMP,COX6C,0.6954579949378967
AAMP,HSBP1,0.6875383257865906
AAMP,NACA,0.6880398392677307
AAMP,PPIA,0.6936750411987305
AAMP,PSMB1,0.6972212195396423
AAMP,RHOA,0.6882312893867493
AAMP,SUMO2,0.6915450096130371
AAMP,UBA52,0.6876174807548523
AAMP,VIM,0.6903337836265564
AANAT,CCIN,0.425799697637558
AANAT,COX6A2,0.4078134000301361
AANAT,ESYT3,0.3154868185520172
AANAT,FLRT3,0.3154868185520172
AANAT,FRMPD2,0.2878136038780212
AANAT,GPR37,0.3915052413940429
AANAT,MAPT,0.2489352375268936
AANAT,PDXP,0.3154865503311157
AANAT,PLS1,0.4075768291950226
AANAT,RIPPLY1,0.7072576880455017
AANAT,RND2,0.3643125295639038
AANAT,RPRM,0.3529525101184845
AANAT,SEMA3E,0.4078134000301361
AANAT,SLC25A15,0.3051415085792541
AANAT,WNT4,0.2665576934814453
AANAT,ZBP1,0.23895925283432
AAR2,BTF3,0.5027157664299011
AAR2,DYNLL1,0.5095906257629395
AAR2,GNAS,0.509864091873169
AAR2,HSBP1,0.5178455114364624
AAR2,NDUFS5,0.5041622519493103
AAR2,PFDN2,0.5060620903968811
AAR2,PSMA7,0.5081548690795898
AAR2,RPL15,0.5098662376403809
AAR2,RPL24,0.5095027089118958
AAR2,RPS11,0.5028584003448486
AARS,CLTC,0.5542515516281128
AARS,GNAS,0.5554437041282654
AARS,KIF5B,0.5540585517883301
AARS,PDIA3,0.5716645121574402
AARS,PSMA7,0.563588559627533
AARS,PSMB1,0.5678960084915161
AARS,PSMB5,0.5709821581840515
AARS,RAC1,0.5739091038703918
AARS,SRP14,0.563336193561554
AARS,SYNCRIP,0.5640183091163635
AARS2,AP2S1,0.3234667479991913
AARS2,APRT,0.3141610324382782
AARS2,ARL6IP4,0.3280234336853027
AARS2,COX6C,0.3174040913581848
AARS2,COX7B,0.3158543407917022
AARS2,GNG5,0.3169105052947998
AARS2,GSN,0.3203689157962799
AARS2,HLA-B,0.3136661946773529
AARS2,MLEC,0.3133138120174408
AARS2,NDUFB3,0.3179375231266022
AARSD1,ANXA6,0.1995740532875061
AARSD1,EBPL,0.2134251147508621
AARSD1,GNG12,0.2030316293239593
AARSD1,PLSCR4,0.202592134475708
AARSD1,RPL10A,0.2010406255722046
AARSD1,RPL35A,0.2000338733196258
AARSD1,RPS18,0.1975532472133636
AARSD1,RPS4X,0.2001017183065414
AARSD1,SHISA4,0.2006888687610626
AARSD1,SLC45A2,0.1120052486658096
AARSD1,TPM2,0.2028669416904449
AASDHPPT,AP2M1,0.614105761051178
AASDHPPT,ARF1,0.5986616015434265
AASDHPPT,COX6A1,0.5988390445709229
AASDHPPT,EIF4G2,0.6008022427558899
AASDHPPT,GNAS,0.605752170085907
AASDHPPT,NDUFA11,0.6027207374572754
AASDHPPT,PSMB1,0.6017631888389587
AASDHPPT,RAC1,0.6093738675117493
AASDHPPT,SUMO2,0.6193256378173828
AASDHPPT,YWHAB,0.6201502084732056
AASS,BGN,0.5703107118606567
AASS,FERMT2,0.5857127904891968
AASS,FILIP1L,0.543056309223175
AASS,GPR135,0.2869265973567962
AASS,IGFBP7,0.5606530904769897
AASS,ITGB1,0.5666738152503967
AASS,MYH9,0.5453072786331177
AASS,NID1,0.5596078038215637
AASS,PMEPA1,0.5547483563423157
AASS,PRKG1,0.555668294429779
AASS,RBMS3,0.5628990530967712
AASS,ZNF417,0.1902715116739273
AATF,CCT8,0.6360890865325928
AATF,CFL1,0.6356472969055176
AATF,CHCHD2,0.6362777948379517
AATF,COX6A1,0.6353050470352173
AATF,GDI2,0.6396616101264954
AATF,NPM1,0.6462303996086121
AATF,PPIA,0.6428085565567017
AATF,PSMB1,0.636029064655304
AATF,VDAC1,0.6348466873168945
AATF,VDAC2,0.6274142265319824
AATK,AP1B1,0.2678951919078827
AATK,DOCK4,0.2702256739139557
AATK,EMILIN2,0.262399286031723
AATK,HCK,0.2543705999851227
AATK,HS3ST1,0.2686536014080047
AATK,MSR1,0.2534915506839752
AATK,NFAM1,0.2684421837329864
AATK,SLC17A8,0.3072514832019806
AATK,ST14,0.2621608078479767
AATK,TAS1R1,0.2155545800924301
AATK,TTYH3,0.2557463347911834
ABAT,ATF6,0.1464833170175552
ABAT,DDX50,0.1450740993022918
ABAT,DPEP2,0.1475909501314163
ABAT,FADS6,0.2104870975017547
ABAT,GNGT2,0.1380373835563659
ABAT,KAT8,0.1390981376171112
ABAT,KIAA1324,0.1363109350204467
ABAT,PCDHA1,0.1385931223630905
ABAT,SAMD4A,0.1374102979898452
ABAT,SLC2A9,0.1481543332338333
ABCA1,ATF7IP2,0.3698060810565948
ABCA1,CREG1,0.7103490829467773
ABCA1,CXCL3,0.475889652967453
ABCA1,FCGRT,0.7193145155906677
ABCA1,GPX1,0.712722897529602
ABCA1,HEXA,0.7228029370307922
ABCA1,MFSD5,0.4006858766078949
ABCA1,MPP1,0.7142869830131531
ABCA1,MTSS1,0.4637995064258575
ABCA1,NPC2,0.7645253539085388
ABCA1,PDZK1IP1,0.221399575471878
ABCA1,PIPOX,0.354987233877182
ABCA1,RFFL,0.3045226037502289
ABCA1,RNF13,0.7159938812255859
ABCA1,RNF130,0.7287531495094299
ABCA1,SDCBP,0.7103849649429321
ABCA1,SLC25A30,0.3462863862514496
ABCA1,SLC7A8,0.4621776640415191
ABCA1,TMEM236,0.2437620609998703
ABCA1,TPP1,0.7309494614601135
ABCA12,ABCB9,0.4312248826026916
ABCA12,ACTA1,0.2286746948957443
ABCA12,ADORA2B,0.3093824982643127
ABCA12,AIPL1,0.4998936951160431
ABCA12,ANKS1B,0.5080594420433044
ABCA12,ARHGAP15,0.4501850306987762
ABCA12,ATP2B3,0.5773499011993408
ABCA12,CDC42BPG,0.6275684237480164
ABCA12,CELF5,0.4079872369766235
ABCA12,CSPG5,0.3329075872898102
ABCA12,CSRP2,0.8040412664413452
