u,v,weight
A1BG,CAMK2N1,0.6046556234359741
A1BG,COL4A2,0.6035066843032837
A1BG,COL6A1,0.6362944841384888
A1BG,GEM,0.6004821062088013
A1BG,ID4,0.6165825724601746
A1BG,LGALS1,0.6112908720970154
A1BG,NID1,0.59868323802948
A1BG,SPARC,0.6359309554100037
A1BG,VASH2,0.614022970199585
A1BG,VIM,0.6033094525337219
A2M,ACSL4,0.4160680472850799
A2M,AIG1,0.3445603251457214
A2M,ALDH18A1,0.5244620442390442
A2M,AOC3,0.7065240144729614
A2M,APEX2,0.4699229300022125
A2M,APLNR,0.7344629764556885
A2M,APP,0.8054552674293518
A2M,ARHGAP29,0.7709396481513977
A2M,ARL2BP,0.5707136392593384
A2M,ARPC5L,0.54128497838974
A2M,ATP11C,0.6784064769744873
A2M,ATXN10,0.5813210010528564
A2M,BAG5,0.4284099340438843
A2M,BCAP29,0.6013321876525879
A2M,BCAP31,0.5857611298561096
A2M,BMPR2,0.6945204138755798
A2M,CMIP,0.6139256358146667
A2M,CNPY4,0.4224342703819275
A2M,CRIP2,0.772097110748291
A2M,DDX56,0.4777715504169464
A2M,DPM3,0.5450191497802734
A2M,ESAM,0.7205711603164673
A2M,FKBP1A,0.734294056892395
A2M,FUT11,0.3982135057449341
A2M,FZD4,0.5859888195991516
A2M,GNB4,0.4978418946266174
A2M,GPRC5B,0.4609281122684479
A2M,GUSB,0.4882435798645019
A2M,HDAC8,0.4175884127616882
A2M,HEBP2,0.5321338772773743
A2M,HEG1,0.6393400430679321
A2M,HLA-F,0.5558813810348511
A2M,HOXD8,0.6532096862792969
A2M,IGFBP7,0.7770879864692688
A2M,ITM2B,0.8038350343704224
A2M,KATNBL1,0.6130145788192749
A2M,LMCD1,0.7331286072731018
A2M,LMF2,0.4934117496013641
A2M,LYRM4,0.4482237100601196
A2M,MANSC1,0.6553206443786621
A2M,MAPK3,0.7023335099220276
A2M,MEF2A,0.644534707069397
A2M,MGMT,0.4971615374088287
A2M,MLEC,0.6381433010101318
A2M,NARS,0.4274905622005462
A2M,NFAT5,0.5474571585655212
A2M,NRP1,0.5828185677528381
A2M,PLCD1,0.8068050146102905
A2M,PLPP1,0.5628138780593872
A2M,POGLUT1,0.5181496739387512
A2M,PPA2,0.31590336561203
A2M,PRAF2,0.3357422649860382
A2M,PSMD2,0.6445794701576233
A2M,PTPN14,0.4042987823486328
A2M,RCN1,0.7119800448417664
A2M,RDX,0.6817830801010132
A2M,RPS28,0.7693527340888977
A2M,RRAGA,0.4175697267055511
A2M,RRP15,0.5945173501968384
A2M,S100A6,0.7593016028404236
A2M,SAP30,0.4077126383781433
A2M,SCAP,0.4640663266181946
A2M,SCOC,0.4929420351982116
A2M,SFSWAP,0.6647713780403137
A2M,SLK,0.5878750085830688
A2M,SMURF2,0.6626095175743103
A2M,ST6GALNAC4,0.5692459940910339
A2M,STT3A,0.4413357079029083
A2M,SWAP70,0.653692901134491
A2M,TECR,0.5119942426681519
A2M,TGFBR2,0.6974105834960938
A2M,TIMP3,0.7659196853637695
A2M,TM9SF2,0.6115292906761169
A2M,TMEM141,0.6092552542686462
A2M,UFSP2,0.3864062428474426
A2M,UGCG,0.7769827246665955
A2M,VAT1,0.5560383796691895
A2M,ZCCHC17,0.4927206337451935
A4GALT,AEBP1,0.7243611812591553
A4GALT,BEX4,0.4073269665241241
A4GALT,BGN,0.7795178890228271
A4GALT,GPX8,0.4708349108695984
A4GALT,HTRA1,0.7245228886604309
A4GALT,MAP1A,0.7190662026405334
A4GALT,MGP,0.7521077394485474
A4GALT,NUPR1,0.7720584273338318
A4GALT,PIAS2,0.4350526034832001
A4GALT,SLC25A18,0.6989172697067261
